"book_title","book_url","book_score","book_review_amount","book_info"
"坏小孩 : 推理之王2","https://book.douban.com/subject/25955474/","7.3","(56230人评价)","紫金陈 / 湖南文艺出版社 / 2018-7-1 / 54.00元"
"活着","https://book.douban.com/subject/4913064/","9.4","(523275人评价)","余华 / 作家出版社 / 2012-8-1 / 20.00元"
"白夜行","https://book.douban.com/subject/10554308/","9.1","(291154人评价)","[日] 东野圭吾 / 刘姿君 / 南海出版公司 / 2013-1-1 / 39.50元"
"小王子","https://book.douban.com/subject/1084336/","9.0","(594011人评价)","[法] 圣埃克苏佩里 / 马振聘 / 人民文学出版社 / 2003-8 / 22.00元"
"解忧杂货店","https://book.douban.com/subject/25862578/","8.5","(652954人评价)","[日] 东野圭吾 / 李盈春 / 南海出版公司 / 2014-5 / 39.50元"
"红楼梦","https://book.douban.com/subject/1007305/","9.6","(301409人评价)","[清] 曹雪芹 著、高鹗 续 / 人民文学出版社 / 1996-12 / 59.70元"
"追风筝的人","https://book.douban.com/subject/1770782/","8.9","(660297人评价)","[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2006-5 / 29.00元"
"百年孤独","https://book.douban.com/subject/6082808/","9.2","(304792人评价)","[哥伦比亚] 加西亚·马尔克斯 / 范晔 / 南海出版公司 / 2011-6 / 39.50元"
"房思琪的初恋乐园","https://book.douban.com/subject/27614904/","9.2","(205228人评价)","林奕含 / 北京联合出版公司 / 2018-1 / 45.00元"
"长夜难明 : 推理之王3","https://book.douban.com/subject/26923390/","8.5","(40156人评价)","紫金陈 / 云南人民出版社 / 2017-1 / 42.00元"
"1984","https://book.douban.com/subject/4820710/","9.3","(156054人评价)","[英] 乔治·奥威尔 / 刘绍铭 / 北京十月文艺出版社 / 2010-4-1 / 28.00"
"月亮与六便士","https://book.douban.com/subject/26954760/","8.8","(156489人评价)","[英] 威廉·萨默塞特·毛姆 / 徐淳刚 / 浙江文艺出版社 / 2017-1-1 / 39.80元"
"平凡的世界（全三部）","https://book.douban.com/subject/1200840/","9.0","(258621人评价)","路遥 / 人民文学出版社 / 2005-1 / 64.00元"
"嫌疑人X的献身","https://book.douban.com/subject/3211779/","8.9","(422929人评价)","[日] 东野圭吾 / 刘子倩 / 南海出版公司 / 2008-9 / 28.00"
"围城","https://book.douban.com/subject/1008145/","8.9","(380871人评价)","钱锺书 / 人民文学出版社 / 1991-2 / 19.00"
"霍乱时期的爱情","https://book.douban.com/subject/10594787/","9.0","(191081人评价)","[哥伦比亚] 加西亚·马尔克斯 / 杨玲 / 南海出版公司 / 2012-9-1 / 39.50元"
"云边有个小卖部","https://book.douban.com/subject/30254298/","7.7","(31862人评价)","张嘉佳 / 湖南文艺出版社 / 2018-7 / 42.00元"
"杀死一只知更鸟","https://book.douban.com/subject/6781808/","9.2","(82571人评价)","[美] 哈珀·李 / 高红梅 / 译林出版社 / 2012-9 / 32.00元"
"局外人","https://book.douban.com/subject/4908885/","9.0","(136985人评价)","[法] 阿尔贝·加缪 / 柳鸣九 / 上海译文出版社 / 2010-8 / 22.00元"
"烧纸","https://book.douban.com/subject/30441551/","8.7","(2981人评价)","[韩] 李沧东 / 金冉 / 武汉大学出版社 / 2020-5 / 58.00"
"三体 : “地球往事”三部曲之一","https://book.douban.com/subject/2567698/","8.8","(381308人评价)","刘慈欣 / 重庆出版社 / 2008-1 / 23.00"
"两京十五日","https://book.douban.com/subject/35080870/","8.4","(2473人评价)","马伯庸 / 湖南文艺出版社 / 2020-7 / 108.00元"
"三体全集 : 地球往事三部曲","https://book.douban.com/subject/6518605/","9.4","(58520人评价)","刘慈欣 / 重庆出版社 / 2012-1-1 / 168.00元"
"许三观卖血记","https://book.douban.com/subject/4760224/","9.0","(51772人评价)","余华 / 作家出版社 / 2012-9 / 24.00元"
